account-no;h-status;entry-date;order-date;tran-code;order-amt;order-shares;confirm-no;price-used;date-settled;receipt-amt;receipt-shares;local-currency;loc-curr-rate;all-shares;trn-id;fund-id-ext;bloomberg-security-code
DB2015Z8719429;H;06/07/2016;06/07/2016;CTB;756037.88;;D0002681084;1337.9523;11/07/2016;756037.88;565.071;EUR;1;no;2869247;IE00B897N648;RUGLBEI ID Equity
DB3018Z8719429;H;06/07/2016;07/07/2016;CTB;1128770.7;;D0002681070;3.1700;12/07/2016;1128770.7;356079.085;EUR;1;no;2869148;IE0032904330;U65H    GR Equity
DB3020Z8719429;H;06/07/2016;07/07/2016;CTB;156515.56;;D0002681076;1.9440;13/07/2016;156515.56;80512.12;GBP;1;no;2869189;GB00B5MQXC30;AXAGTII LN Equity
DB6330Z8719429;H;06/07/2016;07/07/2016;CTB;103327.49;;D0002681115;7.8300;12/07/2016;103327.49;13196.36;EUR;1;no;2869832;LU1218208111;INPCQGE LX Equity
DB3020Z8719429;H;06/07/2016;07/07/2016;BTC;283851.95;;D0002681073;16.7612;13/07/2016;283851.95;16935.061;USD;1;no;2869183;LU0231481374;AGLTEI2 LX Equity
DB4211Z8719429;H;06/07/2016;07/07/2016;CTB;1599540.72;;D0002681061;1.7791;12/07/2016;1599540.72;899072.97;GBP;1;no;2869126;GB00B39R2R32;MGGDIIG LN Equity
DB6331Z8719429;H;06/07/2016;07/07/2016;BTC;14441.96;;D0002681108;1.1406;13/07/2016;14441.96;12661.72;GBP;1;no;2869814;GB00B4Y3KV37;JUPNAII LN Equity
DB3020Z8719429;H;06/07/2016;07/07/2016;CTB;295507.99;;D0002681074;54.4000;12/07/2016;295507.99;5432.132;USD;1;no;2869185;LU0196035553;HENGTIU LX Equity
DB6327Z8719429;H;06/07/2016;07/07/2016;CTB;19570.4;;D0002681099;15.6900;12/07/2016;19570.4;1247.317;EUR;1;no;2869795;LU0264598268;HEUAPPI LX Equity
DB3018Z8719429;H;06/07/2016;07/07/2016;CTB;1852389.47;;D0002681069;26.8700;12/07/2016;1852389.47;68938.946;EUR;1;no;2869146;LU0196036957;HENPEIA LX Equity
DB2016Z8719429;H;06/07/2016;07/07/2016;BTC;978109.78;;D0002680910;16.7611;12/07/2016;978109.78;58355.942;EUR;1;no;2869067;GB00B1Z68502;MGGLCEC LN Equity
DB6330Z8719429;H;06/07/2016;07/07/2016;CTB;77860.66;;D0002681116;14.8108;12/07/2016;77860.66;5257.02;EUR;1;no;2869834;GB00BK6MBZ10;MGPECIE LN Equity
DB6331Z8719429;H;06/07/2016;07/07/2016;CTB;54543.47;;D0002681106;8.7500;12/07/2016;54543.47;6233.539;USD;1;no;2869810;IE00B067MS69;PRIIFSI ID Equity
DB3018Z8719429;H;06/07/2016;07/07/2016;CTB;1317655.43;;D0002681072;2293.6100;11/07/2016;1317655.43;574.49;EUR;1;no;2869152;LU0256881987;RCMEUGW LX Equity
DB3020Z8719429;H;06/07/2016;07/07/2016;CTB;143581.56;;D0002681078;16.6400;12/07/2016;143581.56;8628.7;EUR;1;no;2869193;LU0376438312;BRGTECD LX Equity
DB6330Z8719429;H;06/07/2016;07/07/2016;CTB;90923.05;;D0002681112;13.0200;12/07/2016;90923.05;6983.34;EUR;1;no;2869826;LU0875160912;BGEEID4 LX Equity
DB4211Z8719429;H;06/07/2016;07/07/2016;CTB;2023889.95;;D0002681059;4.5572;12/07/2016;2023889.95;444108.21;USD;1;no;2869122;LU0306807586;SGENYDA LX Equity
DB3019Z8719429;H;06/07/2016;07/07/2016;CTB;582409.5;;D0002681057;109.6807;12/07/2016;582409.5;5310.05;EUR;1;no;2869112;LU0747140647;SGEMCEA LX Equity
DB3014Z8719429;H;06/07/2016;07/07/2016;CTB;549754.55;;D0002681095;29.5200;12/07/2016;549754.55;18623.12;USD;1;no;2869311;LU0174119775;TRPLGEI LX Equity
DB3019Z8719429;H;06/07/2016;07/07/2016;CTB;980977.78;;D0002681055;27.9100;12/07/2016;980977.78;35147.9;USD;1;no;2869108;LU0133084979;TRPGEMI LX Equity
DB6330Z8719429;H;06/07/2016;07/07/2016;CTB;21596.94;;D0002681114;35.6930;13/07/2016;21596.94;605.075;EUR;1;no;2869830;LU0165129155;HSBECUD LX Equity
DB3014Z8719429;H;06/07/2016;07/07/2016;CTB;649434.29;;D0002681094;60.1300;12/07/2016;649434.29;10800.504;USD;1;no;2869309;LU0360484686;MORAMFZ LX Equity
DB3019Z8719429;H;06/07/2016;07/07/2016;CTB;689110.28;;D0002681054;22.0500;12/07/2016;689110.28;31252.167;USD;1;no;2869106;LU0360480858;MOREMKZ LX Equity
DB6331Z8719429;H;06/07/2016;07/07/2016;CTB;41835.72;;D0002681104;60.1300;12/07/2016;41835.72;695.755;USD;1;no;2869806;LU0360484686;MORAMFZ LX Equity
DB6330Z8719429;H;06/07/2016;07/07/2016;CTB;71367.2;;D0002681117;24.5300;12/07/2016;71367.2;2909.384;EUR;1;no;2869836;LU0360611460;MSECHZX LX Equity
DB2015Z8719429;H;06/07/2016;07/07/2016;CTB;2228547.95;;D0002681081;25.2900;12/07/2016;2228547.95;88119.729;USD;1;no;2869241;LU0947203542;MSGIUZX LX Equity
DB6327Z8719429;H;06/07/2016;07/07/2016;CTB;43542.45;;D0002681100;12.9800;12/07/2016;43542.45;3354.58;EUR;1;no;2869797;IE00BYWVKX11;MCEAMDE ID Equity
DB4211Z8719429;H;06/07/2016;07/07/2016;CTB;1469828.6;;D0002681060;0.9722;12/07/2016;1469828.6;1511858.26;GBP;1;no;2869124;GB00B24DPS10;LAZGEII LN Equity
DB4211Z8719429;H;06/07/2016;07/07/2016;CTB;920026.35;;D0002681062;1.4738;12/07/2016;920026.35;624254.546;GBP;1;no;2869128;GB00B8BQG486;NWGHIWA LN Equity