Custody Code;Fund Web Code;Custody Fund Name;Closing Date;FOCUS Transaction Reference;External Transaction Reference;Transaction Type;Transaction BLS Type;Transaction Status;Transaction BLS Status;Security Folder;PTG Cash Account;PTG Cash Account Ccy;Settlement Mode;Trade Date;Contractual Settlement Date;Actual Settlement Date;Settlement Value Date;Creation Date;User Group;Source Sub-Custodian Name;Source Sub-Custodian Id;Portfolio Name;Source Cash Account;Source Cash Account Ccy;Source Security Id;Net Amount;Source Coupon Number Code;Source Coupon Number Amount;Source Coupon Number Label;Source Old Security Price Code;Source Old Security Price Amount;Source Old Security Price Label;Source Interest/DivIdend Rate Id;Source Interest/DivIdend Rate Amount;Source Interest/DivIdend Rate Label;Source Cash Amount Id;Source Cash Amount Amount;Source Cash Amount Label;Source Old Security Rate Id;Source Old Security Rate Amount;Source Old Security Rate Label;Source Multiple Proportion Old Security Id;Source Multiple Proportion Old Security Amount;Source Multiple Proportion Old Security Label;Destination Sub-Custodian Name;Destination Sub-Custodian Id;Destination No dossier titre;Destination Cash Account;Destination Cash Account Ccy;Destination Security Id;Destination Security Ccy;Destination New Security Smallest Denomination Code;Destination New Security Smallest Denomination Amount;Destination New Security Smallest Denomination Label;Destination New Security Price Code;Destination New Security Price Amount;Destination New Security Price Label;Destination New Security Price Code;Destination New Security Price Amount;Destination New Security Price Label;Destination Entitlement Calculation Code;Destination Entitlement Calculation Amount;Destination Entitlement Calculation Label;Destination New Security Proportion Code;Destination New Security Proportion Amount;Destination New Security Proportion Label;Destination Security Event Code;Amount/Rate;Indicator/Ccy;Issuance Fees Id;Issuance Fees Amount;Issuance Fees Ccy;Witholding Tax Id;Witholding Tax Amount;Witholding Tax Ccy;Rights Unit Price Id;Rights Unit Price Amount;Rights Unit Price Ccy;Stock Price Id;Stock Price Amount;Stock Price Ccy;Reinvestment Rate Id;Reinvestment Rate Amount;Reinvestment Rate Ccy;Ex-Date Holding Id;Ex-Date Holding Amount;Ex-Date Holding Ccy;Qty Securities Out Id;Qty Securities Out Amount;Qty Securities Out Ccy;Qty Securities in Id;Qty Securities in Amount;Qty Securities in Ccy;Qty Fractional Quantity Id;Qty Fractional Quantity Amount;Qty Fractional Quantity Ccy;Qty Odd Lot Quantity Id;Qty Odd Lot Quantity Amount;Qty Odd Lot Quantity Ccy;Gross Amount Id;Gross Amount Amount;Gross Amount Ccy;Witholding Tax Id;Witholding Tax Amount;Witholding Tax Ccy;Odd Lots Amount In Oper. Curr. Id;Odd Lots Amount In Oper. Curr. Amount;Odd Lots Amount In Oper. Curr. Ccy;Net Amount In Oper. Curr. Id;Net Amount In Oper. Curr. Amount;Net Amount In Oper. Curr. Ccy;Fund Curr. Net Amount Id;Fund Curr. Net Amount Amount;Fund Curr. Net Amount Ccy;Fractional compensation Id;Fractional compensation Amount;Fractional compensation Ccy;Net Amount In Oper. Curr. Id;Net Amount In Oper. Curr. Amount;Net Amount In Oper. Curr. Ccy;Event Code;Amount/Qty/Rate;Indicator/Ccy;Origin Security Name;Origin TK;Origin ISIN;Origin CUSIP;Origin CEDEL;Origin COVAJA;Origin SICOVAM;Origin SEDOL;Origin SVM;Origin WKN;Origin Reuter Security Code;Origin Bloomberg Security Code;Origin Sub product Code;Origin Economic Sector;Origin Geographic Sector;Origin IML Code;Origin Security Code (CH);Destination Security Name;Destination TK;Destination ISIN;Destination CUSIP;Destination CEDEL;Destination COVAJA;Destination SICOVAM;Destination SEDOL;Destination SVM;Destination WKN;Destination Reuter Security Code;Destination Bloomberg Security Code;Destination Sub product Code;Destination Economic Sector;Destination Geographic Sector;Destination IML Code;Destination Security Code (CH);External Fund Identifier;BB Code Original Security;BB Code New Security;Type Original Security;Type New Security
18008;DB621509;EMEEMEMMEEM 8;42394;018008DI00144000;979674;DI;75;30;30;99967299;;;A;42381;42390;42390;42390;42394;DU001;THE BANK OF NEW YORK MELLON NEW YOR;Z8825098;99975015;;;9.57536E+11;USD;;0;;;0;;OSTPX01;0.0125;USD;;0;;;0;;;0;;;;;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;OSTQT01;265000;;;0;;;0;;;0;;;0;;OSTMT01;3312.5;USD;;0;;;0;;OSTMT08;3312.5;USD;OSTMT09;3312.5;USD;;0;;;0;;;0;;NOBLE ENER 5,625% 15-01.05.21;2.91E+11;US655044AK13;655044AK1;126900937;;0;0;0;0;;;BON;34;US;103;29076999;;;;;;;0;0;0;0;;;;0;;;0;DB6215Z5921873;;;BONDS;
18008;DB621509;EMEEMEMMEEM 8;42394;018008DI00144000;979674;DI;75;30;30;99967299;;;A;42381;42390;42390;42390;42394;DU001;THE BANK OF NEW YORK MELLON NEW YOR;Z8825098;99975015;;;9.57536E+11;USD;;0;;;0;;OSTPX01;0.0125;USD;;0;;;0;;;0;;;;;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;OSTQT01;265000;;;0;;;0;;;0;;;0;;OSTMT01;3312.5;USD;;0;;;0;;OSTMT08;3312.5;USD;OSTMT09;3312.5;USD;;0;;;0;;;0;;NOBLE ENER 5,625% 15-01.05.21;2.91E+11;US655044AK13;655044AK1;126900937;;0;0;0;0;;;BON;34;US;103;29076999;;;;;;;0;0;0;0;;;;0;;;0;DB6215Z5921873;;;BONDS;
18008;DB621509;EMEEMEMMEEM 8;42394;018008AO00010000;979675;AO;34;30;30;99967299;;;A;42381;42390;42390;42390;42394;DU001;THE BANK OF NEW YORK MELLON NEW YOR;Z8825098;99975015;;;9.57536E+11;USD;;0;;;0;;;0;;OSTPX02;0.03;;;0;;OSTIN36;0;N;;;;;;0;;OSTXX22;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;OSTQT01;265000;;;0;;;0;;;0;;;0;;OSTMT01;7950;USD;;0;;;0;;OSTMT08;7950;USD;OSTMT09;7950;USD;;0;;;0;;;0;;NOBLE ENER 5,625% 15-01.05.21;2.91E+11;US655044AK13;655044AK1;126900937;;0;0;0;0;;;BON;34;US;103;29076999;;;;;;;0;0;0;0;;;;0;;;0;DB6215Z5921873;;;BONDS;
18008;DB621509;EMEEMEMMEEM 8;42394;018008AO00010000;979675;AO;34;30;30;99967299;;;A;42381;42390;42390;42390;42394;DU001;THE BANK OF NEW YORK MELLON NEW YOR;Z8825098;99975015;;;9.57536E+11;USD;;0;;;0;;;0;;OSTPX02;0.03;;;0;;OSTIN36;0;N;;;;;;0;;OSTXX22;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;OSTQT01;265000;;;0;;;0;;;0;;;0;;OSTMT01;7950;USD;;0;;;0;;OSTMT08;7950;USD;OSTMT09;7950;USD;;0;;;0;;;0;;NOBLE ENER 5,625% 15-01.05.21;2.91E+11;US655044AK13;655044AK1;126900937;;0;0;0;0;;;BON;34;US;103;29076999;;;;;;;0;0;0;0;;;;0;;;0;DB6215Z5921873;;;BONDS;
18008;DB621509;EMEEMEMMEEM 8;42394;018008AO00009000;976228;AO;56;30;30;99967299;;;A;42381;42390;42390;42390;42394;DU001;THE BANK OF NEW YORK MELLON NEW YOR;Z8825098;99975015;;;9.57536E+11;USD;;0;;OSTPX03;0.985;USD;;0;;;0;;;0;;;0;;;;;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;OSTQT01;265000;;OSTQT02;-265000;;;0;;;0;;;0;;OSTMT01;261025;USD;;0;;;0;;OSTMT08;261025;USD;OSTMT09;261025;USD;;0;;;0;;;0;;NOBLE ENER 5,625% 15-01.05.21;2.91E+11;US655044AK13;655044AK1;126900937;;0;0;0;0;;;BON;34;US;103;29076999;;;;;;;0;0;0;0;;;;0;;;0;DB6215Z5921873;;;BONDS;
629;88160;MMEMMEMME EMEMMEMM MEMMEM EMEEME;42373;000629OGA2312000;974766;OG;33;30;30;81271174;;;A;42373;42373;42373;42373;42373;DU001;HONGKONG AND SHANGHAI BANKING MUMBA;Z9410490;81592374;;;2.11359E+11;INR;;0;;;0;;;0;;;0;;OSTPX07;1;;OSTIN36;0;N;HONGKONG AND SHANGHAI BANKING MUMBA;Z9410490;81592374;80592374480;;5.33085E+11;INR;OSTXX22;0;;;0;;;0;;OSTIN18;0;D;OSTPX06;1;;;0;;;0;;;0;;;0;;OSTCS04;227.35;INR;;0;;OSTQT01;33590;;OSTQT02;-33590;;OSTQT03;33590;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;OSTIN16;0;N;;0;;;0;;MARICO TEMP;;IN8196A01017;;0;;0;0;0;0;;;SHS;61;IN;101;0;MARICO LTD/DEMAT;28795770000;INE196A01026;;;;0;0;0;0;;;SHS;61;IN;101;2879577;DB8816Z9397076;;NRCO IN Equity;EQUITIES;EQUITIES
3076;97230;EMEMEMME,MME MME MEM MEMEM EMME EM;42270;003076ACA0197000;947174;AC;90;35;35;71702961;;;A;42269;42271;42271;42271;42270;KLJ00;STANDARD CHARTERED BANK (THAI) PCL;Z9585693;99970340;;;8.38251E+11;THB;;0;;;0;;;0;;;0;;OSTPX07;1;;OSTIN36;0;N;STANDARD CHARTERED BANK (THAI) PCL;Z9585693;99970340;828622164;;93454000000;THB;OSTXX22;0;;OSTPX05;3.5;THB;;0;;OSTIN18;0;D;OSTPX06;1;;;0;;;0;;;0;;;0;;;0;;;0;;OSTQT01;13920;;OSTQT02;-13920;;OSTQT03;13920;;;0;;;0;;OSTMT01;-48720;THB;;0;;;0;;OSTMT08;-48720;THB;OSTMT09;-48720;THB;OSTIN16;0;N;;0;;;0;;LAND+HOUSE CW 04.05.17/LH/F;2.38E+11;TH014305R508;;106882185;;0;0;0;0;;;WRT;29;TH;102;23843479;LAND AND HOUSE PUBLIC/FOR.REG.;15487420000;US655044AK13;;16207381;;521905;6581930;0;200423;;;SHS;29;TH;101;1548742;DBXXXXZ111111;;LDHOF US Equity;WARRANTS;BONDS
2309;49240;MEMMME EMMEMM MEMMEMM MEMEM;42102;002309ACA0019000;900938;AC;9;30;30;81625157;;;C;42059;42102;42102;42102;42096;KLP00;DANSKE BANK AS (ANC. COPENHAGEN HAN;Z9586250;81698760;;;9.0602E+11;DKK;;0;;;0;;;0;;;0;;OSTPX07;1;;OSTIN36;0;N;DANSKE BANK AS (ANC. COPENHAGEN HAN;Z9586250;81698760;90827572167;;50814000000;DKK;OSTXX22;0;;OSTPX05;177.27;DKK;;0;;OSTIN18;0;D;OSTPX06;9;;;0;;;0;;;0;;;0;;;0;;;0;;OSTQT01;1114;;;0;;OSTQT03;10026;;;0;;;0;;OSTMT01;-1777309.02;DKK;;0;;;0;;OSTMT08;-1777309.02;DKK;OSTMT09;-1777309.02;DKK;;0;;;0;;;0;;A.P. MOELLER - MAERSK A/S  B;9060200000;DK0010244508;K0514G101;8728569;;956770;4253048;7493147;861837;;;SHS;89;DK;101;906020;DANSKE BANK AS;11507210000;DK0010274414;;12016514;;500183;4588825;0;850857;;;SHS;81;DK;101;1150721;DBXXXXZ2222222;AMKBFM B3 Equity;DANSKE LC Equity;EQUITIES;EQUITIES
12536;DB881303;MMEMMEMME EEMEMEEM EMEEME MMM;42415;012536OG00700000;984314;OG;55;30;30;99989821;;;A;42376;42412;42412;42412;42415;DU001;THE BANK OF NEW YORK MELLON LONDON;Z9570037;41695026;;;3.7493E+11;GBP;;0;;;0;;;0;;;0;;OSTPX07;7.451;;OSTIN36;0;N;THE BANK OF NEW YORK MELLON LONDON;Z9570037;41695026;10057900137;;3.7493E+11;GBP;OSTXX22;0;;;0;;OSTPX04;7.451;GBP;OSTIN18;0;D;OSTPX06;0.05672;;;0;;;0;;;0;;;0;;OSTCS04;7.555;GBP;;0;;OSTQT01;152312;;;0;;OSTQT03;1159;;OSTQT04;0.46;;;0;;;0;;;0;;OSTMT07;3.43;GBP;OSTMT08;3.43;GBP;OSTMT09;3.43;GBP;OSTIN16;0;N;;0;;;0;;BRITISH LAND CO PLC R.E.I.T;3749300000;GB0001367019;;10344301;;915550;136701;8574796;852556;;;SHS;57;GB;101;374930;BRITISH LAND CO PLC R.E.I.T;3749300000;GB0001367019;;10344301;;915550;136701;8574796;852556;;;SHS;57;GB;101;374930;DB8813Z5965004;BLD GR Equity;BLD GR Equity;EQUITIES;EQUITIES
