Fund Custody Code;External Fund Identifier;Fund Name;Trade Date;Value Date;Fee Type;Currency;Fee Amount;Transaction ID;Reversal Flag
628;DB8815Z8997924;CHALLENGE ITALIAN EQUITY;17062016;23062016;SUNDRY FEES;EUR;459821.30;Z9162210A1182000;N
639;DB5200Z9397076;CHALLENGE INT BOND FD;17062016;23062016;SUNDRY FEES;EUR;232626.13;Z9162210A1182000;N
1498;DB3896Z8714205;CHALLENGE GERMAN EQUITY;17062016;23062016;SUNDRY FEES;EUR;104596.50;Z9162210A1182000;N
1782;DB4221Z5965004;CHALLENGE SPAIN EQUITY FD;17062016;23062016;SUNDRY FEES;EUR;322700.55;Z9162210A1182000;N
10340;DB4223Z8719429;CHALLENGE INTL EQUITY MAML;17062016;23062016;SUNDRY FEES;EUR;653362.16;Z9162210A1182000;N
10343;DB8814Z8719429;CHALLENGE PACIFIC EQUITY MAML;17062016;23062016;SUNDRY FEES;EUR;555771.78;Z9162210A1182000;N
10344;DB8816Z8719429;CHALLENGE EMERGING MKTS EQUITY MAML;17062016;23062016;SUNDRY FEES;EUR;337800.82;Z9162210A1182000;N
10345;DB3888Z8719429;CHALLENGE ENERGY FUND MAML;17062016;23062016;SUNDRY FEES;EUR;1089447.69;Z9162210A1182000;N
10348;DB8813Z8719429;CHALLENGE EUROPEAN EQUITY MAML;17062016;23062016;SUNDRY FEES;EUR;747276.54;Z9162210A1182000;N
10355;DB8812Z8719429;CHALLENGE NORTH AMERICA EQUITY MAML;17062016;23062016;SUNDRY FEES;EUR;397572.59;Z9162210A1182000;N
10362;DB3789Z8719429;CHALLENGE CYCLICAL MAML;17062016;23062016;SUNDRY FEES;EUR;83771.65;Z9162210A1182000;N
10365;DB3784Z8719429;CHALLENGE COUNTER CYCLICAL MAML;17062016;23062016;SUNDRY FEES;EUR;333625.39;Z9162210A1182000;N
10367;DB3787Z8719429;CHALLENGE FINANCIAL MAML;17062016;23062016;SUNDRY FEES;EUR;830423.87;Z9162210A1182000;N
11156;DB2376Z8719429;CHALLEN SOLIDITY & RETURN FUND MAML;17062016;23062016;SUNDRY FEES;EUR;135080.20;Z9162210A1182000;N
12841;DB2374Z8719429;CHALLENGE FLEXIBLE FUND MAML;17062016;23062016;SUNDRY FEES;EUR;119448.11;Z9162210A1182000;N
2350;DB4211Z8719429;EQUITY POWER COUPON COLLECTION CASH;17062016;23062016;SUNDRY FEES;EUR;417888.05;Z9141208A1176000;N
4191;DB3015Z8719429;GLOBAL HIGH YIELD FUND MAML;17062016;23062016;SUNDRY FEES;EUR;3025416.43;Z9141208A1176000;N
11556;DB5032Z8719429;MEDIO BLACKROCK GLBL SLTN 1 -CASH;17062016;23062016;SUNDRY FEES;EUR;282428.72;Z9141208A1176000;N
11559;DB5033Z8719429;MEDIO JP MORGAN GLBL SLTN 1 -CASH;17062016;23062016;SUNDRY FEES;EUR;246544.03;Z9141208A1176000;N
11561;DB5034Z8719429;MEDIO M STANLEY GLBL SLTN 1 -CASH;17062016;23062016;SUNDRY FEES;EUR;425837.15;Z9141208A1176000;N
1088;DB3014Z8719429;US COLLECTION CASH;17062016;23062016;SUNDRY FEES;EUR;168067.39;Z9141208A1176000;N
1089;DB3019Z8719429;EMERGING MARKETS COLLECTION CASH;17062016;23062016;SUNDRY FEES;EUR;274544.87;Z9141208A1176000;N
1090;DB3018Z8719429;EUROPEAN COLLECTION CASH;17062016;23062016;SUNDRY FEES;EUR;311968.46;Z9141208A1176000;N
1092;DB3017Z8719429;PACIFIC COLLECTION CASH;17062016;23062016;SUNDRY FEES;EUR;111020.66;Z9141208A1176000;N
1886;DB4213Z5992633;EURO FIXED INCOME 2;17062016;23062016;SUNDRY FEES;EUR;13837.92;Z9141208A1176000;N
1887;DB4213Z5967749;EURO FIXED INCOME 3;17062016;23062016;SUNDRY FEES;EUR;8534.52;Z9141208A1176000;N
2349;DB4210Z8719429;DYNAMIC COLLECTION CASH;17062016;23062016;SUNDRY FEES;EUR;9562.81;Z9141208A1176000;N
12316;DB5108Z8719429;PREMIUM COUPON COLLECTION - CASH;17062016;23062016;SUNDRY FEES;EUR;67649.32;Z9141208A1176000;N
14015;DB5357Z8719429;MEDIO DWS MEGATREND SLTN;17062016;23062016;SUNDRY FEES;EUR;101136.09;Z9141208A1176000;N
14018;DB5356Z5970552;MEDIO PIMCO INFLATION STRAT SLTN;17062016;23062016;SUNDRY FEES;EUR;462033.71;Z9141208A1176000;N
14019;DB5355Z8719429;MEDIO FRANKLIN TEMPELTON EMER MKTSSLTN;17062016;23062016;SUNDRY FEES;EUR;150463.78;Z9141208A1176000;N
14814;DB5434Z8719429;COUPON STRATEGY COLLECTION;17062016;23062016;SUNDRY FEES;EUR;1380119.00;Z9141208A1176000;N
15089;DB2381Z8719429;NEW OPPORTUNITIES COLLECTION;17062016;23062016;SUNDRY FEES;EUR;33534.07;Z9141208A1176000;N
16249;DB2016Z8719429;CONVERTIBLE STRATEGY COLLECTION;17062016;23062016;SUNDRY FEES;EUR;337543.67;Z9141208A1176000;N
16250;DB2015Z8719429;INFRASTRUCTURE OPP COLLECTION;17062016;23062016;SUNDRY FEES;EUR;452036.17;Z9141208A1176000;N
16251;DB2018Z8719429;MED INVESCO BALANCED RISK COUP SEL;17062016;23062016;SUNDRY FEES;EUR;448528.95;Z9141208A1176000;N
16453;DB5555Z8719429;SOCIALLY RESPONSIBLE COLLECTION;17062016;23062016;SUNDRY FEES;EUR;90089.30;Z9141208A1176000;N
17992;DB6215Z8719429;EQUILIBRIUM MAML;17062016;23062016;SUNDRY FEES;EUR;257748.96;Z9141208A1176000;N
17995;DB6214Z8719429;FINANCIAL INCOME STRATEGY MAML;17062016;23062016;SUNDRY FEES;EUR;264323.49;Z9141208A1176000;N
19070;DB6331Z8719429;US COUPON STRATEGY COLLECTION;17062016;23062016;SUNDRY FEES;EUR;15810.19;Z9141208A1176000;N
19073;DB6330Z8719429;EUROPEAN COUPON STRATEGYCOLLECTION;17062016;23062016;SUNDRY FEES;EUR;12745.74;Z9141208A1176000;N
19078;DB6329Z8719429;MEDIOLANUM FIDELITY ASIAN COUPONSELECTION;17062016;23062016;SUNDRY FEES;EUR;11614.63;Z9141208A1176000;N
12865;LU7554Z8787249;MEDIOLANUM SPEC SICAV-SIF EQ INCOME;16062016;22062016;SUNDRY FEES;EUR;79500.01;012865FA01107000;N
11459;LU5606Z8719429;MEDIOLANUM SPEC. SCV-SIF DIV INC;16062016;22062016;SUNDRY FEES;EUR;40066.00;011459FA00448000;N
637;DB8820Z9397076;CHALLENGE EURO INCOME FD;17062016;23062016;SUNDRY FEES;EUR;37.11;Z9162210A1182000;N
638;DB5199Z9397076;CHALLENGE INT INCOME FD;17062016;23062016;SUNDRY FEES;EUR;59791.08;Z9162210A1182000;N
